,chronos,gatconv,dagg,dagg_I,baseline,gru,lstm,transformer,diffconv,0.75,0.8,0.85,0.9,0.95,best_method
mae,0.14833083462765567,0.21696627393841586,0.13657620578069987,0.11971276329937447,0.16177641165563225,0.1111588084017535,0.11710029724649282,0.11221140456331023,0.10197049408048858,0.11338932212277053,0.10604848749003276,0.1374422800737204,0.11235183433595852,0.14579472092645848,diffconv
rmse,0.8596037959949717,2.3353867981758802,0.7376342279131581,0.7064675946577164,1.3088444292136474,0.6798211849397298,0.9710442847377228,0.6900957752072434,0.6293345922856189,0.7386108184631519,0.6887892716577716,0.9146519649639432,0.73068625023487,0.9272065478634507,diffconv
crps,0.136785550493688,0.18514119142651786,0.13654854062906682,0.11477894528546723,0.15444013217015318,0.10736014844670701,0.10633926223364862,0.11571922501990939,0.10142516807957487,0.11594562029274118,0.10691495507473038,0.1416604307768558,0.1128196955262029,0.14482327316643595,diffconv
